ChampionName,GamesPlayed,Wins,Kills,Deaths,Assists,GoldEarned,DamageDealt
Teemo,4937,2489,24446,29420,31149,55750467,129973114
Sylas,11155,5531,78602,71054,77315,125486312,246522484
Talon,6076,3117,52754,34784,39658,77851340,139194175
Aphelios,9807,4905,70297,59546,51904,120798023,242634713
Pyke,6093,3050,37719,41979,59682,58674031,73713378
Sion,6143,2988,25176,37952,42997,73274108,133908324
Diana,7893,3945,56288,48240,51841,96506697,175388167
Yasuo,10466,5246,60564,67328,56184,125048672,221225297
Yunara,26210,12561,173488,158635,175150,327183908,642241753
Lulu,12729,6450,16919,59648,183859,99294428,91152839
Gangplank,3971,1943,22548,22081,26482,52893723,104729922
XinZhao,6332,3162,39354,36370,52694,72983195,126151626
Kalista,1047,457,7498,7299,6177,12835670,22404622
Zilean,3514,1796,6787,15181,47052,30092666,36181136
Gragas,5301,2638,24408,26402,36100,57501575,110304460
Qiyana,4592,2342,36055,27120,29081,55702980,102958269
TwistedFate,5440,2766,24876,28138,48212,66709938,102366089
Soraka,6172,3120,5119,30546,88430,46115062,33123346
Malphite,5716,2794,24519,28460,43707,60676320,116652996
Shaco,6179,3138,43347,33961,52192,71303388,127242892
Morgana,5104,2536,16434,29152,62990,48186757,83149319
Corki,5012,2449,33087,27938,34411,61626869,127138364
Leona,6182,3147,11399,37971,86530,49783200,61195404
Yorick,3350,1639,13487,16796,14880,39616013,75736703
Graves,4261,2064,34149,24247,26541,56737055,93595761
Irelia,6822,3472,44016,46477,29900,86716035,151807280
Xerath,5540,2756,32085,27931,49695,62082825,143423238
Nami,15259,7846,21059,73405,230483,120007717,137986186
Shyvana,1753,855,10197,9334,11892,21782350,39127353
Vladimir,7497,3738,44115,35897,39206,87555064,189574976
Mel,7572,3561,58944,41493,44918,90227273,181361350
Jayce,4723,2305,27926,28696,27613,57333545,119443455
Zed,10082,4986,78747,54826,60294,125102938,238523746
Fizz,3699,1878,30201,20882,20513,45760341,81985362
Varus,5645,2639,38796,34122,38325,68056393,134684741
Zyra,4888,2441,18418,28194,50260,49128947,110802060
Shen,5864,2968,24404,28837,56375,59627863,102748517
Vi,3557,1661,20737,20335,28140,40655604,57040870
Jinx,11417,5722,75214,64533,78760,139050553,256305347
Renata,2019,972,3317,11168,28934,16181432,19042891
Sejuani,2371,1136,9734,11559,24344,25406159,40285170
Naafiri,3237,1644,24716,16221,21986,39921016,69876995
Draven,5199,2588,39460,32783,29309,68205134,123665517
Sett,6758,3387,38370,42960,33482,79954630,161286615
JarvanIV,10719,5514,61211,55271,128843,123678433,179096575
Hwei,7355,3737,38415,38487,59947,84061987,185925739
Poppy,5370,2747,22377,30853,50122,52699450,91861905
RekSai,2877,1468,19846,14528,23234,33634414,50808835
Malzahar,6126,3047,27120,33748,45359,73284153,137480311
Bard,7940,3998,23401,42670,110730,68670105,114320950
Galio,8078,4154,31659,40251,80329,82899489,145366397
Senna,7993,3961,31744,43631,97202,83324002,148447772
Sona,8725,4468,17933,45505,123969,70519563,95748463
Viego,13137,6522,107539,70260,79799,164957340,245373899
Sivir,10639,5524,59762,55840,87703,132540926,256496273
KSante,4515,2120,19054,22274,27924,48412020,90008428
Ziggs,4669,2391,25343,23726,36617,56897459,131873230
Blitzcrank,4607,2309,9238,28102,62901,36874821,44802405
Vayne,7697,3937,56811,45706,40481,93651169,178650732
Lillia,3202,1580,19856,16199,27170,38772919,71491449
Annie,4268,2147,23282,25107,34423,46396212,97676724
Rell,5400,2730,10544,32192,85664,43366647,48313759
Gwen,7303,3618,46004,43456,33785,89216771,170859839
Tristana,8345,4292,65470,44543,46398,104956066,193183939
Thresh,10773,5379,20588,63195,156325,86934659,97457185
Renekton,7050,3467,35766,39341,36574,81938867,149913271
Lux,9350,4596,46093,51122,91635,98966861,196222241
DrMundo,6969,3464,29065,34934,38428,81987035,168554469
Nunu,4039,2044,19853,23341,47102,43914171,64958391
Akali,7588,3841,59404,39659,36055,87920580,180390465
Yuumi,5990,2966,7220,21616,93678,45866901,48268403
TahmKench,2914,1437,11059,17134,28446,26844820,49426801
Yone,8379,3936,44548,52516,41116,99311717,194276799
MissFortune,5800,2888,40816,34073,41929,73010343,138982412
Viktor,6789,3294,32734,34446,45096,76861560,170125416
Ryze,5058,2565,26404,25215,31431,60492984,120845714
Syndra,6994,3575,42005,36206,43635,85253275,165584702
Karma,9753,4844,17625,50023,129566,79349837,109759227
Darius,5733,2854,37144,33421,23754,68634152,117559915
Nidalee,4307,2144,27474,21387,37618,48552824,83326367
Lucian,11634,5884,87488,64962,73415,143527467,287488975
Fiora,5714,2999,32916,34870,23266,70649090,132938209
Ivern,3493,1775,10466,14837,44383,35549180,43753147
Urgot,4472,2331,28987,24853,20646,54842647,99048752
Caitlyn,9432,4632,62571,54094,56094,118246953,217243063
Twitch,7567,3778,66641,49239,49304,92217329,194304062
Kaisa,14095,7002,112771,79119,89934,179223603,331380253
Kled,3486,1771,19510,20425,22685,41276696,78178872
Elise,4446,2241,32115,27732,34998,49624682,87064214
Aatrox,8555,4231,45653,46727,44424,95390430,193469715
Trundle,8399,4241,46343,45096,67232,99300057,144836392
Brand,3144,1534,14757,21251,28440,33152975,75347257
Rakan,5078,2511,6997,26362,75633,39598439,36107802
Olaf,2621,1336,17763,16426,12763,32418033,61478360
Leblanc,4498,2283,33499,21839,29189,51253265,104741236
Jhin,12837,6222,91245,66316,100254,157132292,273721751
Camille,4442,2239,26449,25532,23838,51227814,99963373
Braum,6971,3505,8682,38661,105393,54061767,56849138
Kayn,7429,3653,54728,44970,50959,91757157,155132392
Kayle,4362,2156,22450,24545,22841,53640413,89969334
Pantheon,11095,5564,79150,67116,85722,125042887,232305978
Jax,8446,4291,47047,46636,39812,98845142,176125788
MonkeyKing,5209,2613,32977,26310,37613,61133360,97818780
Ambessa,7286,3635,39787,38557,39575,82262772,167927999
Aurora,7556,3747,47903,37682,48613,87368183,195724782
Belveth,3876,2060,28532,19242,25047,47378468,62256652
Alistar,6762,3396,10722,40410,95608,52029308,55003952
Gnar,2456,1173,11651,13323,13998,28159602,56923397
Janna,6034,3072,7986,27220,87045,46932245,43495464
Illaoi,2333,1132,11908,14639,9969,28469073,64047575
Volibear,9635,4870,56941,53243,67566,113166733,183946118
Katarina,4986,2467,45378,29838,27774,60386307,120420057
Milio,9451,4799,8404,38061,136202,72447772,56758844
Chogath,5090,2470,27335,28259,28387,57396113,108905973
Nasus,3927,1911,17096,20112,21023,44212280,77588025
Nocturne,6731,3405,43337,37030,56714,81248268,124763215
Taliyah,4763,2434,26668,26868,41366,55900828,111857648
Riven,5872,3006,36084,33123,27097,68842843,116439693
LeeSin,8072,3865,58653,44773,67006,94801551,147938432
Ahri,9517,4649,52323,47090,70216,107488312,206236739
Nautilus,11204,5496,25051,70817,148762,92660950,118769369
Ashe,6898,3522,37762,41829,62018,79344417,144940744
Mordekaiser,6558,3349,39261,37335,30352,75594987,152449897
Kindred,4848,2471,37331,28083,33187,59670054,107959066
Taric,1799,932,2779,10681,27110,14479538,12301434
Evelynn,2830,1441,24230,14630,19299,34203070,62811874
Orianna,6574,3203,31509,32150,54503,73874711,141283131
Azir,5355,2654,28422,28988,31094,63969181,128122463
Velkoz,3299,1620,16612,19911,29727,33623463,81093566
MasterYi,5284,2756,45542,32282,28204,67147838,112404811
Neeko,3977,2071,15316,22887,41152,37196372,70232627
Amumu,3036,1475,12220,19296,32216,31774602,47480397
Swain,5036,2587,25104,29287,50199,52869457,112410162
Khazix,6076,3092,52005,32385,36616,76578309,128512211
Ezreal,7839,3664,49062,41189,53721,92407286,204761184
Warwick,6093,3097,43954,39278,40432,72613728,118742186
AurelionSol,2592,1277,16924,14484,20331,31439009,63555311
Rumble,3080,1525,18236,17069,20932,35003744,78266542
Akshan,3937,2036,35543,23652,21470,50373175,97028770
Vex,2707,1388,18394,15815,19522,31250773,65589595
Rengar,4370,2170,35684,25931,27132,54911800,91807709
Quinn,3090,1613,22934,20462,19848,37738246,75866102
Garen,5627,2836,33651,29286,22195,70504133,120742796
Ekko,10044,5016,77830,52381,62350,125165258,213006892
Zoe,4497,2335,27684,23531,34489,48750217,104270273
Smolder,10935,5454,69987,62985,74992,137061667,299101661
Heimerdinger,2005,1019,10288,12478,11597,23121381,56056457
Udyr,4544,2285,25069,22898,33159,53727424,90248507
Tryndamere,3531,1785,19684,19819,14634,45173290,73503836
Veigar,4227,2117,25202,22160,26933,50334022,95495280
Zeri,3713,1838,26520,21427,24509,47861874,92856966
Samira,3927,2036,38416,25510,21159,51944049,96972423
Seraphine,5070,2496,14596,26439,64031,45563249,67019896
Briar,4659,2302,36659,32258,34892,58243827,104547498
FiddleSticks,4013,2074,21127,23103,38141,43340044,79084689
Xayah,3408,1685,22532,19075,23086,42159137,80941042
Kennen,2844,1450,16832,16244,17842,32301742,69455471
Karthus,3091,1528,24382,21916,28415,40660213,99759192
Anivia,3199,1595,15086,15737,24904,35025754,62978353
Hecarim,6146,3096,43124,31598,50109,76212157,120167925
KogMaw,2805,1453,21030,18518,19064,34865010,80381308
Cassiopeia,1989,1067,11803,11879,11910,22703521,45283260
Ornn,5503,2732,18252,25131,44715,57192484,102715997
Singed,3193,1688,12752,18528,25904,37792342,66432906
Zac,4615,2326,22326,22429,45661,50144767,83426076
Maokai,2512,1258,6338,14839,31102,22481124,36792312
Lissandra,3012,1508,14859,16799,25340,33745493,63066070
Kassadin,2383,1216,17116,11964,12860,28626046,54838470
Rammus,1257,617,4770,6399,14674,13283566,17820309
Nilah,2190,1116,15808,12866,13889,27472287,44057440
Skarner,1202,554,5343,6191,13197,12688882,20794810
